CODEBUCH,
,
Codebuch auf Github.,
Wert,Kommentar
edgelist,Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).
from,"Spielerin, die von einem bestimmten Verein bzw. aus einem Staat kommt"
to ,"Verein/Heimatsland, aus dem die Spielerin kommt"
playername,Name der Spielerin
clubname,Name des Vereins
country,Name des Heimatslands der Spielerin
nodelist,
id,Abkürzung für die Spielerin/den Verein/das Heimatsland
name,Name der Spielerin/des Vereins/des Heimatslands
type,"dichotome Ausprägung: 0 für Person, 1 für Verein/Heimatsland"
birth,definiert das Geburtsjahr der Spielerin
age,"Kategorisierung des Alters: 1 für unter 20, 2 für 21-23, 3 für 24-26, 4 für 27-30, 5 für über 30"
position,Position der Spielerin auf dem Feld
country,Name des Heimatslands der Spielerin
NA,definiert fehlende Werte
,
Schreibregeln,
Vereinsnamen,Name ohne Sonderzeichen
Spielernamen,Name ohne Sonderzeichen