id,name,type,birth,age,position,country
JL,Juliet Lohuis,0,1996,3,Mittelblock,Niederlande
SU65,SetUp65,1,,,,
TTP,Talent Team Papendal,1,,,,
EA,Eurosped Almelo,1,,,,
CA,Coolen Alterno,1,,,,
USC,USC Münster,1,,,,
NLD,Niederlande,1,,,,
MT,Mira Todorova,0,1994,4,Mittelblock,Bulgarien
RC,RC Cannes,1,,,,
VLC,Volero Le Cannet,1,,,,
VZ,Volero Zürich,1,,,,
LCVB,Le Cannet Volley Ball,1,,,,
SAP,SmAesch Pfeffingen,1,,,,
VCM,VC Maritza,1,,,,
BGR,Bulgarien,1,,,,
ET,Eline Timmerman,0,1998,2,Mittelblock,Niederlande
AA,Alterno Apeldoorn,1,,,,
EST,Eurosped Twente,1,,,,
LIB,Ladies in Black Aachen,1,,,,
HK,Hannah Kohn,0,2003,1,Zuspiel,Deutschland
VfB,VfB Ulm,1,,,,
OS,Olympiastützpunkt Stuttgart,1,,,,
BS,Bundesstützpunkt Stuttgart,1,,,,
IVDV,Ilka Van De Vyver,0,1993,4,Zuspiel,Belgien
AK,Asterix Kieldrecht,1,,,,
IBF,Il Bisonte Firenze,1,,,,
CL,Calcit Ljubljana,1,,,,
RRV,Rote Raben Vilsbiburg,1,,,,
CSM,CSM Targoviste,1,,,,
DTL,Deutschland,1,,,,
BEL,Belgien,1,,,,
JN,Julia Nowicka,0,1998,2,Zuspiel,Polen
GB,Grot Budowlani,1,,,,
BKS,BKS Profi Credit BielskoBiala,1,,,,
KS,KS Palac Bydgoszcz U20,1,,,,
SMS,SMS PZPS Szczyrk,1,,,,
POL,Polen,1,,,,
SL,Simone Lee,0,1996,3,Außenangriff,United States of America
KAF,Kurobe Aqua Fairies,1,,,,
B,Beylikdüzü,1,,,,
IVC,Imoco Volley Conegliano,1,,,,
PSU,Penn State University,1,,,,
USA,United States of America,1,,,,
MSP,Maria Segura Palleres,0,1992,4,Außenangriff,Spanien
BVMB,Banca Valsabbina Millenium Brescia,1,,,,
SC,Dresdner SC 1898,1,,,,
BSBC,Bosca San Bernardo Cuneo,1,,,,
STM,Saugella Team Monza,1,,,,
DIT,Delta Informatica Trentino,1,,,,
GHO,Geovillage Hermaea Olbia,1,,,,
CV,CV Barcelona,1,,,,
ESP,Spanien,1,,,,
HD,Helena Dornheim,0,2004,1,Außenangriff,Deutschland
MTV2,Allianz MTV Stuttgart II,1,,,,
KR,Krystal Rivers,0,1994,4,Diagonal,United States of America
UOA,University of Alabama,1,,,,
BA,Beziers Angels,1,,,,
LBMNE,Luka Bar,1,,,,
LB,Lara Berger,0,2001,1,Diagonal,Deutschland
FV,FV Tübinger Modell,1,,,,
BSP,BSP MTV Stuttgart,1,,,,
VCO,VCO Berlin,1,,,,
RK,Roosa Koskelo,0,1991,4,Libero,Finnland
KBM,OK Nova KBM Branik,1,,,,
LPV,LP Viesti,1,,,,
LPK,LP Kangasala,1,,,,
HL,Hämeenlinnan Lentopallokerho,1,,,,
K,Kimmo,1,,,,
SP,Someron Pallo,1,,,,
FIN,Finnland,1,,,,
LG,Lena Grundt,0,2004,1,Libero,Deutschland
MTVJ,Eigene Jugend MTV Stuttgart,1,,,,
HJ,Hester Jasper,0,2001,1,Außenangriff,Niederlande
VfBS,VfB Suhl Lotto Thueringen,1,,,,
VC,VC Sneek,1,,,,